stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_2,full_loss_3,conv3.weights1,0.9,0.999,0.01,1e-08,3.832668880932033e-05,0.00027202858473174274,0.00023952934134285897,1.4400749232223102,0.027858737583446907,14.71076196317325,1775830418.9879615
full_loss_2,full_loss_3,w0.weight,0.9,0.999,0.01,1e-08,0.0003258323995396495,0.005117324646562338,0.0031984811648726463,0.9168387880929636,0.019775072464533385,26.381306820488007,1775830418.988409
full_loss_2,full_loss_3,w0.bias,0.9,0.999,0.01,1e-08,2.0163843927889502e-09,4.2491446805570376e-08,8.847564458847046e-09,2.050893070791411,0.006587630806854707,49.174806222997454,1775830418.988611
full_loss_2,full_loss_3,w1.weight,0.9,0.999,0.01,1e-08,0.0007184292189776897,0.008581500500440598,0.005763111636042595,1.1219395663342102,0.02124765744190392,22.17971298199715,1775830418.988957
full_loss_2,full_loss_3,w1.bias,0.9,0.999,0.01,1e-08,3.5089771088792077e-09,5.7107289563873564e-08,2.0489096641540527e-08,1.5412711092776235,0.011351177474455595,34.45546156858103,1775830418.989118
full_loss_2,full_loss_3,w2.weight,0.9,0.999,0.01,1e-08,0.0009958191076293588,0.010873530991375446,0.006914111319929361,1.2962435160010632,0.020117917682966478,21.647065014054338,1775830418.9894567
full_loss_2,full_loss_3,w2.bias,0.9,0.999,0.01,1e-08,6.172912847546286e-09,7.964665371673618e-08,5.960464477539063e-08,0.9320629923099845,0.02367687455626063,21.79989761005607,1775830418.9896188
full_loss_2,full_loss_3,w3.weight,0.9,0.999,0.01,1e-08,0.0013674718793481588,0.014916742220520973,0.009258093312382698,1.3293500613504448,0.01963653359510108,21.862529484911967,1775830418.9899614
full_loss_2,full_loss_3,w3.bias,0.9,0.999,0.01,1e-08,1.6093864019239845e-08,1.762760604151481e-07,1.2293457984924316e-07,1.1782168868506813,0.0220645725056494,20.78195594877805,1775830418.990074
full_loss_2,full_loss_3,bn0.weight,0.9,0.999,0.01,1e-08,0.002818275010213256,0.03484533727169037,0.033051494508981705,0.7674229401111989,0.03000984037861171,18.85366667283173,1775830418.990235
full_loss_2,full_loss_3,bn0.bias,0.9,0.999,0.01,1e-08,0.002861359156668186,0.031951893121004105,0.026250068098306656,0.981034880084516,0.0259926821126779,19.42033779275468,1775830418.9903362
full_loss_2,full_loss_3,bn1.weight,0.9,0.999,0.01,1e-08,0.003703158814460039,0.03675214946269989,0.03911978006362915,0.8519585047533244,0.03367680764372433,16.033850510401244,1775830418.990436
full_loss_2,full_loss_3,bn1.bias,0.9,0.999,0.01,1e-08,0.004268735181540251,0.033315517008304596,0.035950906574726105,1.0686411079213882,0.03414133862450365,14.159056095591996,1775830418.990547
full_loss_2,full_loss_3,bn2.weight,0.9,0.999,0.01,1e-08,0.005273096729069948,0.04982379823923111,0.04822941869497299,0.9840025412869455,0.030626153231773593,16.45755531096938,1775830418.990664
full_loss_2,full_loss_3,bn2.bias,0.9,0.999,0.01,1e-08,0.006343397311866283,0.0503779835999012,0.03841831162571907,1.4860251111892009,0.024127634769811196,16.671694262791867,1775830418.9908311
full_loss_2,full_loss_3,bn3.weight,0.9,0.999,0.01,1e-08,0.012670951895415783,0.14960169792175293,0.1299353688955307,0.877656084153288,0.027479455119982392,19.38098447198395,1775830418.990936
full_loss_2,full_loss_3,bn3.bias,0.9,0.999,0.01,1e-08,0.01684321090579033,0.1597871482372284,0.08012765645980835,1.891842403081605,0.01586564932334171,21.795534658780003,1775830418.9910395
full_loss_2,full_loss_3,fc1.weight,0.9,0.999,0.01,1e-08,0.0033573091495782137,0.04931773245334625,0.02664390578866005,1.1340597953146216,0.017092754106104016,27.414565599557445,1775830418.9915054
full_loss_2,full_loss_3,fc1.bias,0.9,0.999,0.01,1e-08,0.005201219115406275,0.07179882377386093,0.043504536151885986,1.076002094911456,0.019170545406866,25.12683235637605,1775830418.9916308
full_loss_2,full_loss_3,fc2.weight,0.9,0.999,0.01,1e-08,0.08674422651529312,3.214399814605713,1.542120337486267,0.5062497521495039,0.015178736655453683,43.73885252512248,1775830418.991746
full_loss_2,full_loss_3,fc2.bias,0.9,0.999,0.01,1e-08,0.5561486482620239,11.688313484191895,2.220193862915039,2.254459810002413,0.006009748569105198,51.128704008866684,1775830418.9918506
